"dt_notificacao","ano_notificacao","mes_notificacao","qntd_casos","qntd_hospitalizacao","qntd_resultado_soro","qntd_resultado_ns1","qntd_resultado_pcr","qntd_auctone","qntd_febre","qntd_vomito","qntd_nausea","qntd_sangramento","precipitacao_total_mensal","temp_media_mensal","vento_vlc_media_mensal"
"2021-07-01","2021","7","10840","264","1052","724","6","0","7225","1988","3165","0","0.01027583025830258303","8.4955590405904059","0.78364022140221402214"
"2021-08-01","2021","8","8129","259","517","243","3","0","5360","1605","2372","0","0.01191044408906384549","10.1842588264239144","0.92231639808094476565"
"2021-09-01","2021","9","8164","272","394","207","3","0","5487","1846","2599","0","0.01277070063694267516","11.4870872121509064","0.97105218030377266046"
"2021-10-01","2021","10","7172","251","351","190","2","0","4880","1645","2396","0","0.09082822085889570552","11.1508337981037368","1.1232794199665365"
"2021-11-01","2021","11","8719","273","748","311","2","0","6188","1905","2779","0","0.06475398554880146806","14.3624624383530221","1.2772496845968574"
"2021-12-01","2021","12","15214","351","1984","737","11","0","11472","3172","4865","0","0.05949191534113316682","11.3229880373340344","0.85835809123176022085"
"2022-01-01","2022","1","6872","107","2243","1170","46","0","5533","1394","2417","0","0.24121345029239766082","18.4175793650793651","1.4453738512949039"
"2022-02-01","2022","2","13802","342","5419","3346","212","0","10875","2766","5116","0","0.12895241786994863843","19.0000746196336854","1.18128500823723228995"
"2022-03-01","2022","3","60699","1317","17732","17212","532","0","48685","12714","23251","0","0.14467106872095866960","19.8713569238294110","1.2471954775476419"
"2022-04-01","2022","4","110685","2390","24058","31852","393","0","89832","24453","43466","0","0.04280438387346814627","17.5408469470854306","1.2459166593078817"
"2022-05-01","2022","5","100220","2171","24970","24578","338","0","80504","23243","40500","0","0.04793646029840507632","16.4507136425998971","1.3887931958497685"
"2022-06-01","2022","6","27903","569","6060","6612","62","0","22212","6668","10954","0","0.03388831397800007665","15.9393767965965275","1.1996588862059714"
"2022-07-01","2022","7","10918","266","2719","2600","45","0","8633","2629","4035","0","0.00277406222739168363","17.2098478239798391","1.29866434040903363381"
"2022-08-01","2022","8","5863","162","1617","1476","37","0","4655","1452","2123","0","0.03883883704235463029","15.7996231155778894","1.7699515434314429"
"2022-09-01","2022","9","3082","99","706","514","25","0","2454","764","1122","0","0.09328363384188626907","16.3125866851595007","1.9665603328710125"
"2022-10-01","2022","10","3017","110","725","486","10","0","2497","770","1090","0","0.13793977230995225854","22.6115056922511935","2.0645391112743298"
"2022-11-01","2022","11","3398","117","1108","579","9","0","2828","809","1275","0","0.11634768740031897927","21.5861467304625199","2.2510813397129187"
"2022-12-01","2022","12","4707","161","1792","1022","30","0","3801","1007","1777","0","0.29607549698458789368","23.3152512843421934","1.8841523341523342"
"2023-01-01","2023","1","13158","425","5450","3368","106","9698","10967","3074","5495","0","0.35969785725296747341","23.0043032218282719","1.6735817789425004"
"2023-02-01","2023","2","33877","974","11784","9994","245","25681","28162","7685","13889","0","0.32529213315420211972","22.5528759516345723","1.3783066129273026"
"2023-03-01","2023","3","83978","1974","25015","26802","509","66824","71309","19600","34486","0","0.21280205655526992288","23.4413478125075079","1.1879391201979675"
"2023-04-01","2023","4","95963","2193","23827","35240","929","76690","82031","22559","39401","0","0.15796420017647800328","20.6897323416950292","1.2244655237615026"
"2023-05-01","2023","5","63739","1439","14746","25063","729","51400","54045","14993","25231","0","0.05507375381485249237","18.3411849885554425","1.06030105544252288911"
"2023-06-01","2023","6","16312","468","3918","6532","288","12652","13583","3877","6173","0","0.08988745677459918265","17.2236422508645080","1.11006350204338258409"
